#
1129097,12.801553,@,君の影　星のように　朝に溶けて消えていく,
1129097,12.801553,orh2pxs,l,
1161709,13.171304,orh1ps,k,
1194322,13.541066,orh2pxs,l,
1226935,13.910828,orh4ps,;,
1259548,14.280590,orh1pl,k,
1389997,15.759603,orh7xs,<,
1422610,16.129365,orh5xs,m,
1455223,16.499127,orh7xs,<,
1487836,16.868889,orh2pxs,>,
1520449,17.238651,orh5xl,m,
1650897,18.717653,orh4xs,d,
1683510,19.087415,orh4s,s,
1716123,19.457177,orh4xs,d,
1748736,19.826939,orh2pxs,k,
1781349,20.196701,orh1p,j,
1846574,20.936213,orh5x,f,
1911797,21.675703,orh7xs,u,
1944410,22.045465,orh1ps,i,
1977023,22.415227,orh2pxs,o,
2009636,22.784989,orh4ps,p,
2042249,23.154751,orh3pxl,o,
2172697,24.633753,@,行き先を失くしたまま　想いは溢れてくる,
2172697,24.633753,orh2pxs,d,
2205310,25.003515,orh1ps,s,
2237923,25.373277,orh2pxs,d,
2270536,25.743039,orh4ps,f,
2303149,26.112800,orh1p,s,
2368374,26.852313,orh5x,a,
2433597,27.591803,orh7xs,d,
2466210,27.961565,orh1ps,f,
2498823,28.331327,orh2pxs,j,
2531436,28.701088,orh3pxs,k,
2564049,29.070850,orh4p,l,
2629274,29.810363,orh4p,l,
2694497,30.549853,orh4pxs,;,
2727110,30.919615,orh4ps,l,
2759723,31.289376,orh3pxs,k,
2792336,31.659138,orh2pxs,j,
2824949,32.028900,orh1ps,f,
2857562,32.398662,orh4ps,o,
2890175,32.768424,orh6s,x,
2922788,33.138186,orh1ps,v,
2955397,33.507902,orh7xll,c,
3216297,36.465952,@,強さにも弱さにも　この心は向き合えた,
3216297,36.465952,cel7ddxs,s,
3248910,36.835714,cel4ds,d,
3281523,37.205476,cel7dx,f,
3314136,37.575238,cel2xs,k,
3346748,37.944989,cel5ddxs,z,
3379361,38.314751,cel4ds,x,
3411974,38.684512,cel5dx,c,
3444588,39.054286,cel1s,m,
3477197,39.424002,cel4dxs,w,
3509810,39.793764,cel5dxs,e,
